XxY,slice_ID,raw_x,raw_y,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,pct_counts_mt,batch,clusters,clusters_0.7,new_x,new_y,new_z,dotShape,clusters_0.6,clusters_0.5,clusters_0.4,clusters_0.3
14680x114600-3,E16-18_S04_a,14680,114600,363,363,5.8971538676367405,1268.0,7.1459846,40.063091482649845,58.753943217665615,84.06940063091483,100.0,0.0,0.0,3,12,12,-103.31465858513563,-83.24449212963532,30000.0,circle,12,11,8,8
14680x114620-3,E16-18_S04_a,14680,114620,256,256,5.54907608489522,931.0,6.8373327,51.55746509129968,72.61009667024705,93.98496240601504,100.0,0.0,0.0,3,18,17,-104.8894463115983,-63.306587434894126,30000.0,circle,13,12,8,8
14680x114640-3,E16-18_S04_a,14680,114640,365,365,5.902633333401366,1254.0,7.134891,38.516746411483254,57.496012759170654,83.33333333333334,100.0,0.0,0.0,3,12,12,-106.464234038061,-43.36868274015294,30000.0,circle,12,11,8,8
14680x114660-3,E16-18_S04_a,14680,114660,451,451,6.113682179832232,2115.0,7.657283,42.836879432624116,61.040189125295505,80.28368794326242,100.0,0.0,0.0,3,18,17,-108.03902176452367,-23.430778045411753,30000.0,circle,13,12,8,8
14680x114680-3,E16-18_S04_a,14680,114680,485,485,6.186208623900494,2086.0,7.6434827,40.0287631831256,57.14285714285714,76.74976030680729,100.0,0.0,0.0,3,12,12,-109.61380949098636,-3.4928733506705636,30000.0,circle,12,11,8,8
14680x114700-3,E16-18_S04_a,14680,114700,541,541,6.295266001439646,2333.0,7.7553387,38.23403343334762,54.60780111444492,74.5820831547364,98.24260608658379,0.0,0.0,3,12,12,-111.18859721744903,16.445031344070625,30000.0,circle,12,11,8,8
14680x114720-3,E16-18_S04_a,14680,114720,537,537,6.2878585601617845,2432.0,7.7968802,38.15789473684211,56.25,75.94572368421053,98.47861842105263,0.0,0.0,3,12,12,-112.76338494391172,36.38293603881181,30000.0,circle,12,11,8,8
14680x114740-3,E16-18_S04_a,14680,114740,573,573,6.352629396319567,2763.0,7.924434,37.92978646398842,54.68693449149475,73.36228736880203,97.35794426348173,0.0,0.0,3,12,12,-114.33817267037439,56.320840733553005,30000.0,circle,12,11,8,8
14680x114760-3,E16-18_S04_a,14680,114760,456,456,6.124683390894205,1857.0,7.527256,38.87991383952612,56.54281098546042,77.54442649434571,100.0,0.0,0.0,3,12,12,-115.91296039683708,76.25874542829419,30000.0,circle,12,11,8,8
14680x114780-3,E16-18_S04_a,14680,114780,529,529,6.272877006546167,2203.0,7.698029,36.81343622333182,53.744893327280984,74.39854743531548,98.68361325465274,0.0,0.0,3,12,12,-117.48774812329975,96.19665012303538,30000.0,circle,12,11,8,8
14680x114800-3,E16-18_S04_a,14680,114800,443,443,6.095824562432225,1798.0,7.494986,38.320355951056726,56.00667408231368,77.8642936596218,100.0,0.0,0.0,3,12,12,-119.06253584976244,116.13455481777657,30000.0,circle,12,11,8,8
14680x114820-3,E16-18_S04_a,14680,114820,437,437,6.082218910376446,2056.0,7.629004,43.433852140077825,61.57587548638133,82.19844357976653,100.0,0.0,0.0,3,15,1,-120.63732357622511,136.07245951251775,30000.0,circle,14,4,5,6
14680x114840-3,E16-18_S04_a,14680,114840,499,499,6.214608098422191,2632.0,7.8758793,42.78115501519757,60.29635258358662,78.83738601823708,100.0,0.0,0.0,3,1,1,-122.2121113026878,156.01036420725896,30000.0,circle,2,4,5,6
14680x114860-3,E16-18_S04_a,14680,114860,521,521,6.257667587882639,2562.0,7.8489337,41.41295862607338,59.75800156128025,78.64949258391881,99.18032786885246,0.0,0.0,3,1,1,-123.78689902915048,175.94826890200014,30000.0,circle,2,4,5,6
14680x114880-3,E16-18_S04_a,14680,114880,590,590,6.3818160174060985,3125.0,8.047509,38.944,57.120000000000005,75.29599999999999,97.11999999999999,0.0,0.0,3,1,1,-125.36168675561316,195.88617359674132,30000.0,circle,2,4,5,6
14680x114900-3,E16-18_S04_a,14680,114900,543,543,6.298949246855942,2937.0,7.985484,40.483486550902285,59.244126659857,76.88117126319374,98.53592100783112,0.0,0.0,3,1,1,-126.93647448207584,215.82407829148252,30000.0,circle,2,4,5,6
14680x114920-3,E16-18_S04_a,14680,114920,553,553,6.317164686747284,2747.0,7.9186287,37.531852930469604,55.660720786312346,74.55405897342555,98.07062249726974,0.0,0.0,3,1,1,-128.5112622085385,235.7619829862237,30000.0,circle,2,4,5,6
14680x114940-3,E16-18_S04_a,14680,114940,551,551,6.313548046277095,2585.0,7.8578677,37.75628626692457,55.43520309477756,74.04255319148936,98.02707930367505,0.0,0.0,3,1,1,-130.0860499350012,255.69988768096488,30000.0,circle,2,4,5,6
14700x114460-3,E16-18_S04_a,14700,114460,432,432,6.07073772800249,2176.0,7.6857033,45.26654411764706,63.78676470588235,83.50183823529412,100.0,0.0,0.0,3,2,3,-72.35323980515567,-221.23503726636096,30000.0,circle,4,0,2,3
14700x114480-3,E16-18_S04_a,14700,114480,506,506,6.2285110035911835,2601.0,7.8640356,43.98308342945021,61.66858900422915,80.31526336024606,99.76931949250289,0.0,0.0,3,2,3,-73.92802753161835,-201.29713257161976,30000.0,circle,4,0,2,3
14700x114500-3,E16-18_S04_a,14700,114500,449,449,6.1092475827643655,2464.0,7.809947,43.91233766233766,63.67694805194806,82.95454545454545,100.0,0.0,0.0,3,2,3,-75.50281525808103,-181.35922787687858,30000.0,circle,4,0,2,3
14700x114520-3,E16-18_S04_a,14700,114520,462,462,6.137727054086234,2673.0,7.8913307,43.4717545828657,63.18742985409652,82.34193789749345,100.0,0.0,0.0,3,15,3,-77.07760298454372,-161.4213231821374,30000.0,circle,14,0,2,3
14700x114540-3,E16-18_S04_a,14700,114540,446,446,6.102558594613569,2143.0,7.6704288,39.43070461969202,59.82267848810079,80.35464302379842,100.0,0.0,0.0,3,15,1,-78.65239071100639,-141.4834184873962,30000.0,circle,14,4,5,6
14700x114560-3,E16-18_S04_a,14700,114560,433,433,6.073044534100405,1679.0,7.426549,38.23704586063133,55.68790946992257,78.20131030375224,100.0,0.0,0.0,3,10,13,-80.22717843746908,-121.54551379265502,30000.0,circle,10,0,2,3
14700x114580-3,E16-18_S04_a,14700,114580,388,388,5.963579343618446,1388.0,7.2363396,41.35446685878962,59.654178674351584,82.9971181556196,100.0,0.0,0.0,3,12,12,-81.80196616393175,-101.60760909791382,30000.0,circle,12,11,8,8
14700x114600-3,E16-18_S04_a,14700,114600,280,280,5.638354669333745,1030.0,6.9382844,47.0873786407767,68.15533980582525,92.23300970873787,100.0,0.0,0.0,3,12,12,-83.37675389039444,-81.66970440317263,30000.0,circle,12,11,8,8
